;Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Probabilidad Patogeno
172;1.89;3.21;8.87;4.8;147;11;N;520;130;-3774.22
173;1.91;3.23;8.89;4.82;148;12;N;521;131;-3713.43
174;1.91;3.23;8.89;4.82;148;12;N;521;131;-3713.43
175;1.91;3.23;8.89;4.82;147;11;N;520;130;-3742.61
176;1.91;3.23;8.89;4.82;146;10;N;519;129;-3765.84
177;1.91;3.23;8.89;4.82;146;10;N;519;129;-3765.84
178;1.91;3.23;8.89;4.82;144;8;N;517;127;-3812.32
179;1.92;3.24;8.9;4.83;147;11;N;520;130;-3726.8
180;1.92;3.24;8.9;4.83;146;10;N;519;129;-3750.04
181;1.93;3.25;8.91;4.84;149;13;N;522;132;-3644.02
182;1.93;3.25;8.91;4.84;147;11;N;520;130;-3709.61
183;1.93;3.25;8.91;4.84;147;11;N;520;130;-3709.61
184;1.93;3.25;8.91;4.84;147;11;N;520;130;-3709.61
185;1.93;3.25;8.91;4.84;146;10;N;519;129;-3734.23
186;1.94;3.26;8.92;4.85;148;12;N;521;131;-3658.5
187;1.94;3.26;8.92;4.85;147;11;N;520;130;-3691.3
188;1.94;3.26;8.92;4.85;146;10;N;519;129;-3718.42
189;1.95;3.27;8.93;4.86;147;11;N;520;130;-3672.99
190;1.95;3.27;8.93;4.86;144;8;N;517;127;-3749.09
191;1.96;3.28;8.94;4.87;147;11;N;520;130;-3654.68
192;1.98;3.3;8.96;4.89;149;13;N;522;132;-3552.47
193;1.98;3.3;8.96;4.89;147;11;N;520;130;-3618.06
194;1.98;3.3;8.96;4.89;145;9;N;518;128;-3678.43
195;1.99;3.31;8.97;4.9;145;9;N;518;128;-3662.62
196;1.99;3.31;8.97;4.9;143;7;N;516;126;-3709.1
197;2.01;3.33;8.99;4.92;146;10;N;519;129;-3595.92
198;2.07;3.39;9.05;4.98;145;9;N;518;128;-3518.86
199;3.07;2.98;8.51;4.6;153;29;N;530;218;-1710.12
200;3.13;3.04;8.57;4.66;153;29;N;530;218;-1632.95
201;3.14;3.05;8.58;4.67;155;31;N;532;220;-1550.12
202;3.15;3.06;8.59;4.68;154;30;N;531;219;-1571.55
203;3.15;3.06;8.59;4.68;152;28;N;529;217;-1633.68
204;3.15;3.06;8.59;4.68;148;24;N;525;213;-1686.39
205;3.16;3.07;8.6;4.69;152;28;N;529;217;-1620.82
206;3.17;3.08;8.61;4.7;156;32;N;533;221;-1468.95
207;3.17;3.08;8.61;4.7;154;30;N;531;219;-1541.68
208;3.17;3.08;8.61;4.7;152;28;N;529;217;-1607.96
209;3.18;3.09;8.62;4.71;153;29;N;530;218;-1563.11
210;3.18;3.09;8.62;4.71;153;29;N;530;218;-1563.11
211;3.18;3.09;8.62;4.71;153;29;N;530;218;-1563.11
212;3.18;3.09;8.62;4.71;151;27;N;528;216;-1621.54
213;3.18;3.09;8.62;4.71;149;25;N;526;214;-1645.42
214;3.19;3.1;8.63;4.72;156;32;N;533;221;-1439.08
215;3.19;3.1;8.63;4.72;154;30;N;531;219;-1511.81
216;3.19;3.1;8.63;4.72;152;28;N;529;217;-1582.24
217;3.19;3.1;8.63;4.72;151;27;N;528;216;-1608.68
218;3.19;3.1;8.63;4.72;150;26;N;527;215;-1627.85
219;3.2;3.11;8.64;4.73;154;30;N;531;219;-1496.88
220;3.2;3.11;8.64;4.73;154;30;N;531;219;-1496.88
221;3.2;3.11;8.64;4.73;152;28;N;529;217;-1569.38
222;3.2;3.11;8.64;4.73;152;28;N;529;217;-1569.38
223;3.2;3.11;8.64;4.73;151;27;N;528;216;-1595.82
224;3.2;3.11;8.64;4.73;151;27;N;528;216;-1595.82
225;3.2;3.11;8.64;4.73;151;27;N;528;216;-1595.82
226;3.21;3.12;8.65;4.74;153;29;N;530;218;-1518.31
227;3.21;3.12;8.65;4.74;151;27;N;528;216;-1582.96
228;3.21;2.97;8.56;4.63;106;13;N;525;147;-1998.56
229;3.22;3.13;8.66;4.75;156;32;N;533;221;-1394.28
230;3.22;3.13;8.66;4.75;152;28;N;529;217;-1539.75
231;3.23;2.73;8.17;4.46;105;48;N;525;135;-1532.17
232;3.23;3.14;8.67;4.76;152;28;N;529;217;-1524.81
233;3.23;3.14;8.67;4.76;152;28;N;529;217;-1524.81
234;3.23;3.14;8.67;4.76;149;25;N;526;214;-1586.94
235;3.23;2.91;8.44;4.59;298;10;N;524;193;-1643.4
236;3.24;2.74;8.18;4.47;103;46;N;523;133;-1572.66
237;3.24;2.74;8.18;4.47;103;46;N;523;133;-1572.66
238;3.24;3.15;8.68;4.77;155;31;N;532;220;-1400.77
239;3.24;3.15;8.68;4.77;152;28;N;529;217;-1509.88
240;3.24;3.15;8.68;4.77;150;26;N;527;215;-1569.36
241;3.24;3.0;8.59;4.66;107;14;N;526;148;-1913.44
242;3.25;2.75;8.19;4.48;106;49;N;526;136;-1489.13
243;3.25;2.75;8.19;4.48;105;48;N;525;135;-1513.93
244;3.25;3.16;8.69;4.78;154;30;N;531;219;-1422.21
245;3.25;3.01;8.6;4.67;104;11;N;523;145;-1985.71
246;3.26;3.17;8.7;4.79;152;28;N;529;217;-1480.01
247;3.26;3.02;8.61;4.68;103;10;N;522;144;-1994.88
248;3.27;2.77;8.21;4.5;103;46;N;523;133;-1545.29
249;3.27;3.14;8.71;4.61;798;30;N;522;182;-3213.83
250;3.27;3.18;8.71;4.8;151;27;N;528;216;-1501.45
251;3.27;3.18;8.71;4.8;148;24;N;525;213;-1546.03
252;3.27;2.95;8.46;4.76;214;17;N;527;116;-2265.48
253;3.27;2.95;8.46;4.76;209;12;N;522;111;-2548.27
254;3.27;3.03;8.62;4.69;104;11;N;523;145;-1953.3
255;3.28;2.78;8.22;4.51;105;48;N;525;135;-1486.56
256;3.28;2.95;8.43;4.58;136;37;N;529;147;-1881.33
257;3.28;3.19;8.72;4.81;154;30;N;531;219;-1377.41
258;3.28;2.89;8.3;4.63;154;29;N;525;160;-1893.81
259;3.28;3.19;8.72;4.81;150;26;N;527;215;-1519.38
260;3.28;3.05;8.68;4.6;427;18;N;527;162;-1968.38
261;3.28;2.96;8.47;4.77;212;15;N;525;114;-2357.37
262;3.28;3.04;8.63;4.7;104;11;N;523;145;-1937.09
263;3.28;2.96;8.47;4.77;208;11;N;521;110;-2596.59
264;3.29;2.79;8.23;4.52;104;47;N;524;134;-1502.24
265;3.29;2.79;8.23;4.52;103;46;N;523;133;-1527.05
266;3.29;2.79;8.23;4.52;102;45;N;522;132;-1559.12
267;3.29;2.9;8.31;4.64;152;27;N;523;158;-1934.78
268;3.29;3.2;8.73;4.82;148;24;N;525;213;-1522.64
269;3.29;2.86;8.41;4.61;422;23;N;535;184;-2089.84
270;3.29;2.97;8.48;4.78;211;14;N;524;113;-2405.7
271;3.29;2.97;8.48;4.78;211;14;N;524;113;-2405.7
272;3.29;2.97;8.48;4.78;211;14;N;524;113;-2405.7
273;3.29;2.97;8.48;4.78;209;12;N;522;111;-2525.3
274;3.29;2.84;8.39;4.59;704;12;N;524;157;-3316.15
275;3.29;2.81;8.42;4.72;164;11;N;532;75;-2038.3
276;3.29;3.05;8.64;4.71;103;10;N;522;144;-1946.26
277;3.29;3.1;8.63;4.59;217;8;N;523;245;-1463.32
278;3.29;3.05;8.65;4.59;269;5;N;520;163;-1782.01
279;3.29;3.06;8.6;4.57;140;4;N;518;244;-2004.71
280;3.3;3.05;8.6;4.58;231;59;N;525;312;-1874.75
281;3.3;2.97;8.45;4.6;137;38;N;530;148;-1810.93
282;3.3;2.86;8.34;4.58;144;34;N;524;167;-1759.18
283;3.3;3.21;8.74;4.83;152;28;N;529;217;-1420.28
284;3.3;2.99;8.59;4.69;353;19;N;525;185;-1527.52
285;3.3;2.98;8.49;4.79;210;13;N;523;112;-2454.02
286;3.3;2.98;8.49;4.79;210;13;N;523;112;-2454.02
287;3.3;3.06;8.65;4.72;103;10;N;522;144;-1930.06
288;3.3;2.95;8.51;4.67;218;9;N;522;146;-2038.42
289;3.31;3.06;8.61;4.59;232;60;N;526;313;-1865.97
290;3.31;2.85;8.39;4.59;245;40;N;517;166;-2136.23
291;3.31;3.22;8.75;4.84;155;31;N;532;220;-1296.24
292;3.31;3.22;8.75;4.84;154;30;N;531;219;-1332.61
293;3.31;2.73;8.26;4.51;288;30;N;510;88;-3348.3
294;3.31;2.92;8.33;4.66;153;28;N;524;159;-1890.52
295;3.31;2.76;8.19;4.53;93;16;N;524;100;-1378.71
296;3.31;2.99;8.5;4.8;212;15;N;525;114;-2322.93
297;3.31;3.12;8.65;4.61;224;15;N;530;252;-1299.26
298;3.31;3.07;8.66;4.73;107;14;N;526;148;-1788.68
299;3.31;3.13;8.66;4.66;120;14;N;527;251;-1765.65
300;3.31;2.99;8.5;4.8;210;13;N;523;112;-2442.54
301;3.31;2.99;8.52;4.67;301;13;N;527;196;-1437.61
302;3.31;2.99;8.52;4.67;300;12;N;526;195;-1462.99
303;3.31;3.07;8.66;4.73;105;12;N;524;146;-1861.62
304;3.31;3.07;8.66;4.73;105;12;N;524;146;-1861.62
305;3.31;3.07;8.66;4.73;104;11;N;523;145;-1888.47
306;3.31;3.07;8.66;4.73;104;11;N;523;145;-1888.47
307;3.31;3.07;8.66;4.73;104;11;N;523;145;-1888.47
308;3.31;2.86;8.41;4.61;703;11;N;523;156;-3269.92
309;3.31;3.07;8.66;4.73;104;11;N;523;145;-1888.47
310;3.31;3.07;8.66;4.73;102;9;N;521;143;-1926.08
311;3.31;2.96;8.52;4.68;217;8;N;521;145;-2064.24
312;3.32;2.82;8.26;4.55;104;47;N;524;134;-1474.88
313;3.32;2.86;8.4;4.6;245;40;N;517;166;-2122.14
314;3.32;2.93;8.34;4.67;151;26;N;522;157;-1965.57
315;3.32;2.93;8.34;4.67;151;26;N;522;157;-1965.57
316;3.32;2.95;8.39;4.68;187;15;N;525;98;-2258.31
317;3.32;3.0;8.51;4.81;212;15;N;525;114;-2311.45
318;3.32;3.13;8.66;4.62;224;15;N;530;252;-1281.28
319;3.32;2.95;8.39;4.68;185;13;N;523;96;-2387.65
320;3.32;3.08;8.67;4.74;106;13;N;525;147;-1807.71
321;3.32;3.06;8.77;4.68;222;13;N;532;132;-2039.27
322;3.32;2.84;8.45;4.75;165;12;N;533;76;-1975.17
323;3.32;3.08;8.67;4.74;105;12;N;524;146;-1842.87
324;3.32;2.95;8.39;4.68;183;11;N;521;94;-2516.98
325;3.32;3.08;8.67;4.74;104;11;N;523;145;-1872.26
326;3.32;3.08;8.67;4.74;104;11;N;523;145;-1872.26
327;3.32;3.0;8.53;4.68;299;11;N;525;194;-1472.17
328;3.32;3.0;8.53;4.68;298;10;N;524;193;-1497.55
329;3.32;3.08;8.67;4.74;103;10;N;522;144;-1897.65
330;3.32;3.08;8.67;4.74;103;10;N;522;144;-1897.65
331;3.32;2.95;8.39;4.68;182;10;N;520;93;-2581.65
332;3.32;3.14;8.67;4.67;116;10;N;523;247;-1898.04
333;3.32;3.09;8.63;4.6;138;2;N;516;242;-2040.85
334;3.33;2.83;8.27;4.56;104;47;N;524;134;-1465.75
335;3.33;2.87;8.41;4.61;246;41;N;518;167;-2052.58
336;3.33;2.87;8.41;4.61;246;41;N;518;167;-2052.58
337;3.33;2.89;8.37;4.61;149;39;N;529;172;-1591.15
338;3.33;2.94;8.35;4.68;150;25;N;521;156;-2040.14
339;3.33;2.94;8.35;4.68;149;24;N;520;155;-2134.7
340;3.33;2.88;8.52;4.66;229;22;N;538;205;-1127.74
341;3.33;0.84;8.43;4.53;106;21;N;527;146;-1326.84
342;3.33;3.1;8.73;4.65;428;19;N;528;163;-1890.19
343;3.33;2.78;8.21;4.55;94;17;N;525;101;-1305.87
344;3.33;3.01;8.52;4.82;212;15;N;525;114;-2299.97
345;3.33;2.96;8.4;4.69;187;15;N;525;98;-2252.44
346;3.33;3.09;8.68;4.75;106;13;N;525;147;-1788.96
347;3.33;3.09;8.68;4.75;106;13;N;525;147;-1788.96
348;3.33;2.96;8.4;4.69;184;12;N;522;95;-2446.44
349;3.33;3.09;8.68;4.75;105;12;N;524;146;-1824.12
350;3.33;3.09;8.68;4.75;105;12;N;524;146;-1824.12
351;3.33;2.96;8.4;4.69;184;12;N;522;95;-2446.44
352;3.33;2.88;8.43;4.63;703;11;N;523;156;-3242.96
353;3.33;2.88;8.43;4.63;703;11;N;523;156;-3242.96
354;3.33;3.08;8.74;4.73;404;11;N;526;157;-1912.8
355;3.33;2.88;8.43;4.63;703;11;N;523;156;-3242.96
356;3.33;3.09;8.68;4.75;102;9;N;521;143;-1893.0
357;3.34;2.84;8.28;4.57;103;46;N;523;133;-1481.43
358;3.34;2.84;8.28;4.57;103;46;N;523;133;-1481.43
359;3.34;2.84;8.28;4.57;102;45;N;522;132;-1537.98
360;3.34;2.84;8.28;4.57;101;44;N;521;131;-1603.73
361;3.34;2.88;8.42;4.62;248;43;N;520;169;-1920.51
362;3.34;2.88;8.42;4.62;245;40;N;517;166;-2093.95
363;3.34;2.88;8.42;4.62;243;38;N;515;164;-2204.89
364;3.34;3.01;8.47;4.59;280;25;N;516;168;-2106.97
365;3.34;3.02;8.53;4.83;213;16;N;526;115;-2228.69
366;3.34;2.99;8.55;4.71;224;15;N;528;152;-1788.14
367;3.34;2.99;8.55;4.71;224;15;N;528;152;-1788.14
368;3.34;2.89;8.44;4.64;706;14;N;526;159;-3287.31
369;3.34;2.98;8.52;4.64;149;13;N;528;195;-1630.95
370;3.34;2.97;8.41;4.7;184;12;N;522;95;-2440.57
371;3.34;3.1;8.69;4.76;105;12;N;524;146;-1805.37
372;3.34;3.09;8.75;4.74;405;12;N;527;158;-1886.97
373;3.34;3.1;8.69;4.76;104;11;N;523;145;-1839.85
374;3.34;3.1;8.69;4.76;104;11;N;523;145;-1839.85
375;3.34;2.97;8.41;4.7;183;11;N;521;94;-2505.24
376;3.34;3.03;8.57;4.69;86;11;N;523;210;-2016.09
377;3.34;2.97;8.65;4.63;244;11;N;527;151;-1796.19
378;3.34;3.02;8.55;4.7;298;10;N;524;193;-1465.13
379;3.34;3.1;8.69;4.76;103;10;N;522;144;-1865.24
380;3.34;2.99;8.55;4.71;219;10;N;523;147;-1943.37
381;3.34;2.85;8.2;4.51;143;9;N;524;147;-1678.74
382;3.35;2.85;8.29;4.58;100;43;N;520;130;-1686.92
383;3.35;2.89;8.43;4.63;246;41;N;518;167;-2021.58
384;3.35;2.85;8.29;4.58;98;41;N;518;128;-1876.03
385;3.35;2.91;8.39;4.63;145;35;N;525;168;-1675.06
386;3.35;2.93;8.46;4.6;453;33;N;518;127;-2746.43
387;3.35;2.91;8.39;4.63;142;32;N;522;165;-1800.28
388;3.35;2.91;8.39;4.63;142;32;N;522;165;-1800.28
389;3.35;3.22;8.79;4.69;798;30;N;522;182;-3088.05
390;3.35;2.96;8.37;4.7;149;24;N;520;155;-2118.38
391;3.35;2.91;8.55;4.67;272;24;N;530;126;-2057.73
392;3.35;2.92;8.47;4.67;420;21;N;533;182;-1969.74
393;3.35;3.03;8.54;4.84;214;17;N;527;116;-2157.93
394;3.35;3.03;8.54;4.84;214;17;N;527;116;-2157.93
395;3.35;2.9;8.45;4.65;708;16;N;528;161;-3312.38
396;3.35;3.03;8.54;4.84;213;16;N;526;115;-2217.21
397;3.35;3.03;8.54;4.84;213;16;N;526;115;-2217.21
398;3.35;3.03;8.54;4.84;212;15;N;525;114;-2277.01
399;3.35;3.03;8.54;4.84;212;15;N;525;114;-2277.01
400;3.35;2.9;8.45;4.65;706;14;N;526;159;-3273.83
401;3.35;2.9;8.45;4.65;706;14;N;526;159;-3273.83
402;3.35;3.03;8.56;4.71;302;14;N;528;197;-1347.4
403;3.35;3.03;8.54;4.84;211;14;N;524;113;-2336.81
404;3.35;3.0;8.56;4.72;222;13;N;526;150;-1853.99
405;3.35;2.9;8.45;4.65;704;12;N;524;157;-3235.28
406;3.35;2.9;8.45;4.65;704;12;N;524;157;-3235.28
407;3.35;3.03;8.56;4.71;300;12;N;526;195;-1398.16
408;3.35;3.11;8.7;4.77;105;12;N;524;146;-1786.62
