Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Patogeno
4;3.02;8.48;4.66;260;16;N;533;256;0
4;3.05;8.5;4.75;243;16;N;518;153;0
4;3.21;8.85;4.9;151;16;N;518;169;0
4;3.48;9.19;5.03;419;16;N;525;170;0
4;3.25;8.81;4.82;91;16;N;529;312;0
4;3.05;8.5;4.75;243;16;N;518;153;0
4;3.03;8.43;4.68;531;15;N;523;169;0
4;3.21;8.85;4.9;150;15;N;517;168;0
4;3.21;8.82;4.85;147;15;N;533;224;0
4;3.26;8.9;4.9;136;15;N;517;119;0
4;3.24;8.84;4.87;95;14;N;527;218;0
4;3.32;8.95;4.94;159;14;N;520;149;0
4;3.48;9.19;5.03;417;14;N;523;168;0
4;3.25;8.81;4.82;89;14;N;527;310;0
4;3.17;8.65;4.83;96;13;N;527;208;0
4;3.2;8.77;4.75;112;13;N;518;194;0
4;3.25;8.81;4.82;88;13;N;526;309;0
4;3.21;8.82;4.85;145;13;N;531;222;0
4;3.32;8.95;4.94;158;13;N;519;148;0
4;3.47;9.24;5.06;295;13;N;528;174;0
4;3.26;8.81;4.96;114;13;N;531;261;0
4;3.18;8.83;4.81;88;13;N;530;220;0
4;3.24;8.67;4.9;239;12;N;529;201;0
4;3.19;8.71;4.83;111;12;N;532;158;0
4;3.48;9.19;5.03;415;12;N;521;166;0
4;3.19;8.71;4.83;111;12;N;532;158;0
4;3.37;9.04;4.85;474;12;N;528;199;0
4;3.02;8.48;4.66;256;12;N;529;252;0
4;3.12;8.73;4.68;133;12;N;529;219;0
4;3.35;8.67;4.89;243;11;N;522;229;0
4;3.24;8.8;4.86;139;11;N;533;155;0
4;3.18;8.83;4.81;86;11;N;528;218;0
4;3.28;8.85;4.87;80;11;N;525;132;0
4;3.26;8.98;4.98;199;11;N;533;158;0
4;3.24;8.71;4.93;256;10;N;506;149;0
4;3.26;8.86;4.92;85;10;N;525;213;0
4;3.28;8.85;4.87;79;10;N;524;131;0
4;3.18;8.78;4.75;89;9;N;521;210;0
4;3.18;8.83;4.81;84;9;N;526;216;0
4;3.14;8.7;4.74;112;9;N;525;196;0
4;3.28;8.85;4.87;77;8;N;522;129;0
4;3.51;9.22;5.08;405;8;N;522;167;0
4;3.51;9.22;5.08;404;7;N;521;166;0
4;3.24;8.84;4.87;88;7;N;520;211;0
4;3.24;8.84;4.87;88;7;N;520;211;0
4;3.04;8.49;4.72;364;7;N;526;194;0
4;3.18;8.78;4.75;86;6;N;518;207;0
4;3.24;8.84;4.87;86;5;N;518;209;0
1.85;3.17;8.83;4.76;148;12;N;521;131;0
1.86;3.18;8.84;4.77;147;11;N;520;130;0
1.88;3.2;8.86;4.79;149;13;N;522;132;0
1.88;3.2;8.86;4.79;147;11;N;520;130;0
1.89;3.21;8.87;4.8;149;13;N;522;132;0
1.89;3.21;8.87;4.8;147;11;N;520;130;0
1.91;3.23;8.89;4.82;148;12;N;521;131;0
1.91;3.23;8.89;4.82;148;12;N;521;131;0
1.91;3.23;8.89;4.82;147;11;N;520;130;0
1.91;3.23;8.89;4.82;146;10;N;519;129;0
1.91;3.23;8.89;4.82;146;10;N;519;129;0
1.91;3.23;8.89;4.82;144;8;N;517;127;0
1.92;3.24;8.9;4.83;147;11;N;520;130;0
1.92;3.24;8.9;4.83;146;10;N;519;129;0
1.93;3.25;8.91;4.84;149;13;N;522;132;0
1.93;3.25;8.91;4.84;147;11;N;520;130;0
1.93;3.25;8.91;4.84;147;11;N;520;130;0
1.93;3.25;8.91;4.84;147;11;N;520;130;0
1.93;3.25;8.91;4.84;146;10;N;519;129;0
1.94;3.26;8.92;4.85;148;12;N;521;131;0
1.94;3.26;8.92;4.85;147;11;N;520;130;0
1.94;3.26;8.92;4.85;146;10;N;519;129;0
1.95;3.27;8.93;4.86;147;11;N;520;130;0
1.95;3.27;8.93;4.86;144;8;N;517;127;0
1.96;3.28;8.94;4.87;147;11;N;520;130;0
1.98;3.3;8.96;4.89;149;13;N;522;132;0
1.98;3.3;8.96;4.89;147;11;N;520;130;0
1.98;3.3;8.96;4.89;145;9;N;518;128;0
1.99;3.31;8.97;4.9;145;9;N;518;128;0
1.99;3.31;8.97;4.9;143;7;N;516;126;0
2.01;3.33;8.99;4.92;146;10;N;519;129;0
2.07;3.39;9.05;4.98;145;9;N;518;128;0
3.07;2.98;8.51;4.6;153;29;N;530;218;0
3.13;3.04;8.57;4.66;153;29;N;530;218;0
3.14;3.05;8.58;4.67;155;31;N;532;220;0
3.15;3.06;8.59;4.68;154;30;N;531;219;0
3.15;3.06;8.59;4.68;152;28;N;529;217;0
3.15;3.06;8.59;4.68;148;24;N;525;213;0
3.16;3.07;8.6;4.69;152;28;N;529;217;0
3.17;3.08;8.61;4.7;156;32;N;533;221;0
3.17;3.08;8.61;4.7;154;30;N;531;219;0
3.17;3.08;8.61;4.7;152;28;N;529;217;0
3.18;3.09;8.62;4.71;153;29;N;530;218;0
3.18;3.09;8.62;4.71;153;29;N;530;218;0
3.18;3.09;8.62;4.71;153;29;N;530;218;0
3.18;3.09;8.62;4.71;151;27;N;528;216;0
3.18;3.09;8.62;4.71;149;25;N;526;214;0
3.19;3.1;8.63;4.72;156;32;N;533;221;0
3.19;3.1;8.63;4.72;154;30;N;531;219;0
3.19;3.1;8.63;4.72;152;28;N;529;217;0
3.19;3.1;8.63;4.72;151;27;N;528;216;0
3.19;3.1;8.63;4.72;150;26;N;527;215;0
3.2;3.11;8.64;4.73;154;30;N;531;219;0
3.2;3.11;8.64;4.73;154;30;N;531;219;0
3.2;3.11;8.64;4.73;152;28;N;529;217;0
3.2;3.11;8.64;4.73;152;28;N;529;217;0
3.2;3.11;8.64;4.73;151;27;N;528;216;0
3.2;3.11;8.64;4.73;151;27;N;528;216;0
3.2;3.11;8.64;4.73;151;27;N;528;216;0
3.21;3.12;8.65;4.74;153;29;N;530;218;0
3.21;3.12;8.65;4.74;151;27;N;528;216;0
3.21;2.97;8.56;4.63;106;13;N;525;147;0
3.22;3.13;8.66;4.75;156;32;N;533;221;0
3.22;3.13;8.66;4.75;152;28;N;529;217;0
3.23;2.73;8.17;4.46;105;48;N;525;135;0
3.23;3.14;8.67;4.76;152;28;N;529;217;0
3.23;3.14;8.67;4.76;152;28;N;529;217;0
3.23;3.14;8.67;4.76;149;25;N;526;214;0
3.23;2.91;8.44;4.59;298;10;N;524;193;0
3.24;2.74;8.18;4.47;103;46;N;523;133;0
3.24;2.74;8.18;4.47;103;46;N;523;133;0
3.24;3.15;8.68;4.77;155;31;N;532;220;0
3.24;3.15;8.68;4.77;152;28;N;529;217;0
3.24;3.15;8.68;4.77;150;26;N;527;215;0
3.24;3;8.59;4.66;107;14;N;526;148;0
3.25;2.75;8.19;4.48;106;49;N;526;136;0
3.25;2.75;8.19;4.48;105;48;N;525;135;0
3.25;3.16;8.69;4.78;154;30;N;531;219;0
3.25;3.01;8.6;4.67;104;11;N;523;145;0
3.26;3.17;8.7;4.79;152;28;N;529;217;0
3.26;3.02;8.61;4.68;103;10;N;522;144;0
3.27;2.77;8.21;4.5;103;46;N;523;133;0
3.27;3.14;8.71;4.61;798;30;N;522;182;0
3.27;3.18;8.71;4.8;151;27;N;528;216;0
3.27;3.18;8.71;4.8;148;24;N;525;213;0
3.27;2.95;8.46;4.76;214;17;N;527;116;0
3.27;2.95;8.46;4.76;209;12;N;522;111;0
3.27;3.03;8.62;4.69;104;11;N;523;145;0
3.28;2.78;8.22;4.51;105;48;N;525;135;0
3.28;2.95;8.43;4.58;136;37;N;529;147;0
3.28;3.19;8.72;4.81;154;30;N;531;219;0
3.28;2.89;8.3;4.63;154;29;N;525;160;0
3.28;3.19;8.72;4.81;150;26;N;527;215;0
3.28;3.05;8.68;4.6;427;18;N;527;162;0
3.28;2.96;8.47;4.77;212;15;N;525;114;0
3.28;3.04;8.63;4.7;104;11;N;523;145;0
3.28;2.96;8.47;4.77;208;11;N;521;110;0
3.29;2.79;8.23;4.52;104;47;N;524;134;0
3.29;2.79;8.23;4.52;103;46;N;523;133;0
3.29;2.79;8.23;4.52;102;45;N;522;132;0
3.29;2.9;8.31;4.64;152;27;N;523;158;0
3.29;3.2;8.73;4.82;148;24;N;525;213;0
3.29;2.86;8.41;4.61;422;23;N;535;184;0
3.29;2.97;8.48;4.78;211;14;N;524;113;0
3.29;2.97;8.48;4.78;211;14;N;524;113;0
3.29;2.97;8.48;4.78;211;14;N;524;113;0
3.29;2.97;8.48;4.78;209;12;N;522;111;0
3.29;2.84;8.39;4.59;704;12;N;524;157;0
3.29;2.81;8.42;4.72;164;11;N;532;75;0
3.29;3.05;8.64;4.71;103;10;N;522;144;0
3.29;3.1;8.63;4.59;217;8;N;523;245;0
3.29;3.05;8.65;4.59;269;5;N;520;163;0
3.29;3.06;8.6;4.57;140;4;N;518;244;0
3.3;3.05;8.6;4.58;231;59;N;525;312;0
3.3;2.97;8.45;4.6;137;38;N;530;148;0
3.3;2.86;8.34;4.58;144;34;N;524;167;0
3.3;3.21;8.74;4.83;152;28;N;529;217;0
3.3;2.99;8.59;4.69;353;19;N;525;185;0
3.3;2.98;8.49;4.79;210;13;N;523;112;0
3.3;2.98;8.49;4.79;210;13;N;523;112;0
3.3;3.06;8.65;4.72;103;10;N;522;144;0
3.3;2.95;8.51;4.67;218;9;N;522;146;0
3.31;3.06;8.61;4.59;232;60;N;526;313;0
3.31;2.85;8.39;4.59;245;40;N;517;166;0
3.31;3.22;8.75;4.84;155;31;N;532;220;0
3.31;3.22;8.75;4.84;154;30;N;531;219;0
3.31;2.73;8.26;4.51;288;30;N;510;88;0
3.31;2.92;8.33;4.66;153;28;N;524;159;0
3.31;2.76;8.19;4.53;93;16;N;524;100;0
3.31;2.99;8.5;4.8;212;15;N;525;114;0
3.31;3.12;8.65;4.61;224;15;N;530;252;0
3.31;3.07;8.66;4.73;107;14;N;526;148;0
3.31;3.13;8.66;4.66;120;14;N;527;251;0
3.31;2.99;8.5;4.8;210;13;N;523;112;0
3.31;2.99;8.52;4.67;301;13;N;527;196;0
3.31;2.99;8.52;4.67;300;12;N;526;195;0
3.31;3.07;8.66;4.73;105;12;N;524;146;0
3.31;3.07;8.66;4.73;105;12;N;524;146;0
3.31;3.07;8.66;4.73;104;11;N;523;145;0
3.31;3.07;8.66;4.73;104;11;N;523;145;0
3.31;3.07;8.66;4.73;104;11;N;523;145;0
3.31;2.86;8.41;4.61;703;11;N;523;156;0
3.31;3.07;8.66;4.73;104;11;N;523;145;0
3.31;3.07;8.66;4.73;102;9;N;521;143;0
3.31;2.96;8.52;4.68;217;8;N;521;145;0
3.32;2.82;8.26;4.55;104;47;N;524;134;0
3.32;2.86;8.4;4.6;245;40;N;517;166;0
3.32;2.93;8.34;4.67;151;26;N;522;157;0
3.32;2.93;8.34;4.67;151;26;N;522;157;0
3.32;2.95;8.39;4.68;187;15;N;525;98;0
3.32;3;8.51;4.81;212;15;N;525;114;0
3.32;3.13;8.66;4.62;224;15;N;530;252;0
3.32;2.95;8.39;4.68;185;13;N;523;96;0
3.32;3.08;8.67;4.74;106;13;N;525;147;0
3.32;3.06;8.77;4.68;222;13;N;532;132;0
3.32;2.84;8.45;4.75;165;12;N;533;76;0
3.32;3.08;8.67;4.74;105;12;N;524;146;0
3.32;2.95;8.39;4.68;183;11;N;521;94;0
3.32;3.08;8.67;4.74;104;11;N;523;145;0
3.32;3.08;8.67;4.74;104;11;N;523;145;0
3.32;3;8.53;4.68;299;11;N;525;194;0
3.32;3;8.53;4.68;298;10;N;524;193;0
3.32;3.08;8.67;4.74;103;10;N;522;144;0
3.32;3.08;8.67;4.74;103;10;N;522;144;0
3.32;2.95;8.39;4.68;182;10;N;520;93;0
3.32;3.14;8.67;4.67;116;10;N;523;247;0
3.32;3.09;8.63;4.6;138;2;N;516;242;0
3.33;2.83;8.27;4.56;104;47;N;524;134;0
3.33;2.87;8.41;4.61;246;41;N;518;167;0
3.33;2.87;8.41;4.61;246;41;N;518;167;0
3.33;2.89;8.37;4.61;149;39;N;529;172;0
3.33;2.94;8.35;4.68;150;25;N;521;156;0
3.33;2.94;8.35;4.68;149;24;N;520;155;0
3.33;2.88;8.52;4.66;229;22;N;538;205;0
3.33;0.84;8.43;4.53;106;21;N;527;146;0
3.33;3.1;8.73;4.65;428;19;N;528;163;0
3.33;2.78;8.21;4.55;94;17;N;525;101;0
3.33;3.01;8.52;4.82;212;15;N;525;114;0
3.33;2.96;8.4;4.69;187;15;N;525;98;0
3.33;3.09;8.68;4.75;106;13;N;525;147;0
3.33;3.09;8.68;4.75;106;13;N;525;147;0
3.33;2.96;8.4;4.69;184;12;N;522;95;0
3.33;3.09;8.68;4.75;105;12;N;524;146;0
3.33;3.09;8.68;4.75;105;12;N;524;146;0
3.33;2.96;8.4;4.69;184;12;N;522;95;0
3.33;2.88;8.43;4.63;703;11;N;523;156;0
3.33;2.88;8.43;4.63;703;11;N;523;156;0
3.33;3.08;8.74;4.73;404;11;N;526;157;0
3.33;2.88;8.43;4.63;703;11;N;523;156;0
3.33;3.09;8.68;4.75;102;9;N;521;143;0
3.34;2.84;8.28;4.57;103;46;N;523;133;0
3.34;2.84;8.28;4.57;103;46;N;523;133;0
3.34;2.84;8.28;4.57;102;45;N;522;132;0
3.34;2.84;8.28;4.57;101;44;N;521;131;0
3.34;2.88;8.42;4.62;248;43;N;520;169;0
3.34;2.88;8.42;4.62;245;40;N;517;166;0
3.34;2.88;8.42;4.62;243;38;N;515;164;0
3.34;3.01;8.47;4.59;280;25;N;516;168;0
3.34;3.02;8.53;4.83;213;16;N;526;115;0
3.34;2.99;8.55;4.71;224;15;N;528;152;0
3.34;2.99;8.55;4.71;224;15;N;528;152;0
3.34;2.89;8.44;4.64;706;14;N;526;159;0
3.34;2.98;8.52;4.64;149;13;N;528;195;0
3.34;2.97;8.41;4.7;184;12;N;522;95;0
3.34;3.1;8.69;4.76;105;12;N;524;146;0
3.34;3.09;8.75;4.74;405;12;N;527;158;0
3.34;3.1;8.69;4.76;104;11;N;523;145;0
3.34;3.1;8.69;4.76;104;11;N;523;145;0
3.34;2.97;8.41;4.7;183;11;N;521;94;0
3.34;3.03;8.57;4.69;86;11;N;523;210;0
3.34;2.97;8.65;4.63;244;11;N;527;151;0
3.34;3.02;8.55;4.7;298;10;N;524;193;0
3.34;3.1;8.69;4.76;103;10;N;522;144;0
3.34;2.99;8.55;4.71;219;10;N;523;147;0
3.34;2.85;8.2;4.51;143;9;N;524;147;0
3.35;2.85;8.29;4.58;100;43;N;520;130;0
3.35;2.89;8.43;4.63;246;41;N;518;167;0
3.35;2.85;8.29;4.58;98;41;N;518;128;0
3.35;2.91;8.39;4.63;145;35;N;525;168;0
3.35;2.93;8.46;4.6;453;33;N;518;127;0
3.35;2.91;8.39;4.63;142;32;N;522;165;0
3.35;2.91;8.39;4.63;142;32;N;522;165;0
3.35;3.22;8.79;4.69;798;30;N;522;182;0
3.35;2.96;8.37;4.7;149;24;N;520;155;0
3.35;2.91;8.55;4.67;272;24;N;530;126;0
3.35;2.92;8.47;4.67;420;21;N;533;182;0
3.35;3.03;8.54;4.84;214;17;N;527;116;0
3.35;3.03;8.54;4.84;214;17;N;527;116;0
3.35;2.9;8.45;4.65;708;16;N;528;161;0
3.35;3.03;8.54;4.84;213;16;N;526;115;0
3.35;3.03;8.54;4.84;213;16;N;526;115;0
3.35;3.03;8.54;4.84;212;15;N;525;114;0
3.35;3.03;8.54;4.84;212;15;N;525;114;0
3.35;2.9;8.45;4.65;706;14;N;526;159;0
3.35;2.9;8.45;4.65;706;14;N;526;159;0
3.35;3.03;8.56;4.71;302;14;N;528;197;0
3.35;3.03;8.54;4.84;211;14;N;524;113;0
3.35;3;8.56;4.72;222;13;N;526;150;0
3.35;2.9;8.45;4.65;704;12;N;524;157;0
3.35;2.9;8.45;4.65;704;12;N;524;157;0
3.35;3.03;8.56;4.71;300;12;N;526;195;0
3.35;3.11;8.7;4.77;105;12;N;524;146;0
3.35;3.11;8.7;4.77;104;11;N;523;145;0
3.35;2.98;8.42;4.71;182;10;N;520;93;0
3.35;3;8.56;4.72;217;8;N;521;145;0
3.35;3.11;8.7;4.77;101;8;N;520;142;0
3.35;2.87;8.48;4.78;160;7;N;528;71;0
3.35;3.12;8.66;4.63;142;6;N;520;246;0
3.36;3.11;8.66;4.64;233;61;N;527;314;0
3.36;3.11;8.66;4.64;231;59;N;525;312;0
3.36;2.86;8.3;4.59;102;45;N;522;132;0
3.36;3.03;8.51;4.66;136;37;N;529;147;0
3.36;3.03;8.51;4.66;135;36;N;528;146;0
3.36;2.94;8.47;4.61;455;35;N;520;129;0
3.36;2.94;8.47;4.61;455;35;N;520;129;0
3.36;3.03;8.51;4.66;133;34;N;526;144;0
3.36;2.92;8.4;4.64;144;34;N;524;167;0
3.36;2.94;8.47;4.61;453;33;N;518;127;0
3.36;3.03;8.51;4.66;131;32;N;524;142;0
3.36;2.78;8.31;4.56;288;30;N;510;88;0
3.36;2.78;8.31;4.56;288;30;N;510;88;0
3.36;3.03;8.49;4.61;285;30;N;521;173;0
3.36;2.78;8.31;4.56;287;29;N;509;87;0
3.36;3.03;8.49;4.61;283;28;N;519;171;0
3.36;2.97;8.38;4.71;152;27;N;523;158;0
3.36;3.03;8.49;4.61;282;27;N;518;170;0
3.36;2.97;8.38;4.71;151;26;N;522;157;0
3.36;3.27;8.8;4.89;150;26;N;527;215;0
3.36;2.97;8.38;4.71;150;25;N;521;156;0
3.36;2.93;8.48;4.68;424;25;N;537;186;0
3.36;2.93;8.48;4.68;424;25;N;537;186;0
3.36;3.04;8.55;4.85;216;19;N;529;118;0
3.36;2.98;8.64;4.8;233;19;N;534;170;0
3.36;3.05;8.65;4.75;351;17;N;523;183;0
3.36;2.99;8.43;4.72;188;16;N;526;99;0
3.36;3.04;8.55;4.85;213;16;N;526;115;0
3.36;3.04;8.55;4.85;212;15;N;525;114;0
3.36;3.04;8.55;4.85;211;14;N;524;113;0
3.36;3.04;8.55;4.85;211;14;N;524;113;0
3.36;3.04;8.55;4.85;210;13;N;523;112;0
3.36;3.17;8.7;4.66;222;13;N;528;250;0
3.36;2.99;8.43;4.72;185;13;N;523;96;0
3.36;3.12;8.72;4.66;277;13;N;528;171;0
3.36;2.88;8.49;4.79;165;12;N;533;76;0
3.36;3.04;8.57;4.72;300;12;N;526;195;0
3.36;3.11;8.77;4.76;405;12;N;527;158;0
3.36;3.05;8.59;4.71;86;11;N;523;210;0
3.36;3.12;8.71;4.78;104;11;N;523;145;0
3.36;3.04;8.57;4.72;299;11;N;525;194;0
3.36;3.12;8.71;4.78;103;10;N;522;144;0
3.36;3.04;8.57;4.72;298;10;N;524;193;0
3.36;3.05;8.59;4.71;85;10;N;522;209;0
3.36;2.99;8.43;4.72;181;9;N;519;92;0
3.36;3.09;8.62;4.65;99;9;N;526;209;0
3.36;3.04;8.57;4.72;296;8;N;522;191;0
3.36;3.05;8.59;4.71;83;8;N;520;207;0
3.36;3.04;8.57;4.72;296;8;N;522;191;0
3.36;3.12;8.72;4.66;271;7;N;522;165;0
3.36;3.17;8.7;4.66;216;7;N;522;244;0
3.36;3.04;8.57;4.72;294;6;N;520;189;0
3.37;3.24;8.87;4.72;788;47;N;522;185;0
3.37;2.87;8.31;4.6;102;45;N;522;132;0
3.37;2.87;8.31;4.6;100;43;N;520;130;0
3.37;2.91;8.45;4.65;244;39;N;516;165;0
3.37;2.91;8.45;4.65;243;38;N;515;164;0
3.37;2.93;8.41;4.65;147;37;N;527;170;0
3.37;2.84;8.41;4.65;405;33;N;526;169;0
3.37;2.93;8.41;4.65;142;32;N;522;165;0
3.37;2.98;8.39;4.72;153;28;N;524;159;0
3.37;2.98;8.39;4.72;151;26;N;522;157;0
3.37;2.98;8.39;4.72;150;25;N;521;156;0
3.37;2.98;8.39;4.72;150;25;N;521;156;0
3.37;2.98;8.39;4.72;149;24;N;520;155;0
3.37;3.06;8.66;4.76;354;20;N;526;186;0
3.37;2.92;8.56;4.7;225;18;N;534;201;0
3.37;2.92;8.56;4.7;225;18;N;534;201;0
3.37;3.05;8.56;4.86;212;15;N;525;114;0
3.37;3.05;8.56;4.86;212;15;N;525;114;0
3.37;3.05;8.56;4.86;212;15;N;525;114;0
3.37;3.02;8.58;4.74;224;15;N;528;152;0
3.37;3.12;8.78;4.77;407;14;N;529;160;0
3.37;3.05;8.56;4.86;210;13;N;523;112;0
3.37;3.18;8.71;4.67;222;13;N;528;250;0
3.37;3.13;8.72;4.79;106;13;N;525;147;0
3.37;3.19;8.72;4.72;119;13;N;526;250;0
3.37;3.05;8.56;4.86;208;11;N;521;110;0
3.37;3;8.44;4.73;182;10;N;520;93;0
3.37;3.13;8.72;4.79;103;10;N;522;144;0
3.37;3.12;8.78;4.77;403;10;N;525;156;0
3.37;3.13;8.73;4.67;273;9;N;524;167;0
3.37;3.05;8.58;4.73;296;8;N;522;191;0
3.37;3.01;8.46;4.56;93;8;N;521;232;0
3.37;3;8.68;4.66;241;8;N;524;148;0
3.37;3.13;8.73;4.67;271;7;N;522;165;0
3.37;3.06;8.6;4.72;81;6;N;518;205;0
3.37;2.94;8.55;4.58;230;5;N;516;149;0
3.38;3.14;8.65;4.64;269;66;N;525;289;0
3.38;2.92;8.46;4.66;251;46;N;523;172;0
